date,Close,High,Low,Open,Volume,sentiment,goldstein_mean
2017-04-10,9181.4501953125,9225.650390625,9174.849609375,9225.599609375,135800,-0.1256281407035175,0.1681719496309161
2017-04-11,9237.0,9242.7001953125,9172.849609375,9184.5498046875,200100,-0.094017094017094,0.0469072164948453
2017-04-12,9203.4501953125,9246.400390625,9161.7998046875,9242.5,161800,-0.1368421052631579,-0.0017132128608307
2017-04-13,9150.7998046875,9202.650390625,9144.9501953125,9202.5,166500,-0.1630434782608695,0.3397843665768194
2017-04-17,9139.2998046875,9160.0,9120.25,9144.75,0,-0.2710280373831775,0.2530931677018633
2017-04-18,9105.150390625,9217.900390625,9095.4501953125,9163.0,174200,-0.0337078651685393,0.5973052425281724
2017-04-19,9103.5,9120.5,9075.150390625,9112.2001953125,173700,-0.1428571428571428,-0.0160436137071651
2017-04-20,9136.400390625,9143.900390625,9102.650390625,9108.099609375,170300,-0.0638297872340425,-0.3509419551934827
2017-04-21,9119.400390625,9183.650390625,9088.75,9179.099609375,155200,-0.217391304347826,-0.023536645351697
2017-04-24,9217.9501953125,9225.400390625,9130.5498046875,9135.349609375,167700,0.0844444444444444,-0.1911736411736411
2017-04-25,9306.599609375,9309.2001953125,9250.349609375,9273.0498046875,168700,0.1141552511415525,-0.4204585930543188
2017-04-26,9351.849609375,9367.0,9301.349609375,9336.2001953125,185700,0.0335570469798657,0.253183991945633
2017-04-27,9342.150390625,9367.150390625,9322.650390625,9359.150390625,209400,0.037037037037037,0.216046277665996
2017-04-28,9304.0498046875,9342.650390625,9282.25,9340.9501953125,162200,-0.0588235294117647,0.3099155543448652
2017-05-02,9313.7998046875,9352.5498046875,9269.900390625,9339.849609375,161600,-0.0956521739130434,-0.128422180551835
2017-05-03,9311.9501953125,9346.2998046875,9298.400390625,9344.7001953125,151600,-0.0157068062827225,0.0686462003019627
2017-05-04,9359.900390625,9365.650390625,9323.25,9360.9501953125,269600,-0.037037037037037,0.1357357357357357
2017-05-05,9285.2998046875,9377.099609375,9272.0,9374.5498046875,231900,-0.0069930069930069,-0.4795953757225434
2017-05-08,9314.0498046875,9338.7001953125,9297.9501953125,9311.4501953125,174300,0.1888888888888888,-0.0995686168778646
2017-05-09,9316.849609375,9338.9501953125,9307.7001953125,9337.349609375,132300,0.1144278606965174,-0.0229003651538862
2017-05-10,9407.2998046875,9414.75,9336.0,9339.650390625,152700,-0.1224489795918367,-0.2535325241207594
2017-05-11,9422.400390625,9450.650390625,9411.2998046875,9448.599609375,171100,-0.1631205673758865,-0.0886218876664736
2017-05-12,9400.900390625,9437.75,9372.5498046875,9436.650390625,154300,-0.1063829787234042,-0.2475961538461538
2017-05-15,9445.400390625,9449.25,9423.099609375,9433.5498046875,140800,-0.0311111111111111,-0.1795149035651665
2017-05-16,9512.25,9517.2001953125,9456.349609375,9461.0,166500,0.056910569105691,-0.0747139588100686
2017-05-17,9525.75,9532.599609375,9486.099609375,9517.599609375,205500,-0.0178571428571428,0.0517112453264308
2017-05-18,9429.4501953125,9489.099609375,9418.099609375,9453.2001953125,193300,-0.0163934426229508,0.2623643297154591
2017-05-19,9427.900390625,9505.75,9390.75,9469.900390625,252100,-0.0635838150289017,0.0536280487804878
2017-05-22,9438.25,9498.650390625,9427.900390625,9480.25,196800,-0.0427350427350427,0.0741279069767441
2017-05-23,9386.150390625,9448.0498046875,9370.0,9445.0498046875,224400,-0.0380952380952381,-0.0570473876063183
2017-05-24,9360.5498046875,9431.900390625,9341.650390625,9410.900390625,211800,-0.2694610778443114,-0.0503324099722991
2017-05-25,9509.75,9523.2998046875,9379.2001953125,9384.0498046875,289200,-0.0805687203791469,-0.036566988462444
2017-05-26,9595.099609375,9604.900390625,9495.400390625,9507.75,218800,-0.1413043478260869,0.2146510516252389
2017-05-29,9604.900390625,9637.75,9547.7001953125,9560.0498046875,235000,-0.1557788944723618,-0.7433589462129528
2017-05-30,9624.5498046875,9635.2998046875,9581.2001953125,9590.650390625,193900,-0.1333333333333333,-0.5947339994598975
2017-05-31,9621.25,9649.599609375,9609.25,9636.5498046875,414300,-0.1707317073170731,-0.5206654043819313
2017-06-01,9616.099609375,9634.650390625,9589.900390625,9603.5498046875,176100,-0.3427230046948357,-0.4199249296215201
2017-06-02,9653.5,9673.5,9637.4501953125,9657.150390625,162200,-0.2033195020746888,0.2326468806783767
2017-06-05,9675.099609375,9687.2001953125,9640.7001953125,9656.2998046875,127700,-0.3448275862068966,-0.1040226272784412
2017-06-06,9637.150390625,9709.2998046875,9630.2001953125,9704.25,145900,-0.2790697674418604,-0.6352422907488987
2017-06-07,9663.900390625,9678.5498046875,9630.5498046875,9663.9501953125,160700,-0.1658767772511848,-0.8622089875473741
2017-06-08,9647.25,9688.7001953125,9641.5,9682.400390625,155400,-0.1062271062271062,-0.7338021338506304
2017-06-09,9668.25,9676.25,9608.150390625,9638.5498046875,159000,-0.2073732718894009,-0.5108726752503576
2017-06-12,9616.400390625,9647.0498046875,9598.5,9646.7001953125,141400,-0.0594059405940594,0.2595472703062583
2017-06-13,9606.900390625,9654.150390625,9595.400390625,9615.5498046875,129700,-0.1213389121338912,0.2419842710223835
2017-06-14,9618.150390625,9627.400390625,9580.4501953125,9621.5498046875,181800,-0.2217194570135746,0.2187463213655091
2017-06-15,9578.0498046875,9621.400390625,9560.7998046875,9617.900390625,171100,-0.3090909090909091,0.187567084078712
2017-06-16,9588.0498046875,9615.849609375,9565.5,9595.4501953125,213200,-0.0751445086705202,-0.3020478657784357
2017-06-19,9657.5498046875,9673.2998046875,9614.900390625,9626.400390625,141700,-0.0718232044198895,0.5591535186576508
2017-06-20,9653.5,9676.5,9643.75,9670.5,159500,-0.0689655172413793,0.6128692525044953
2017-06-21,9633.599609375,9650.4501953125,9608.599609375,9648.099609375,144000,-0.1262135922330097,0.4800825844061209
2017-06-22,9630.0,9698.849609375,9617.75,9642.650390625,198800,-0.0391061452513966,0.4913477088948787
2017-06-23,9574.9501953125,9647.650390625,9565.2998046875,9643.25,175200,-0.1470588235294117,0.5170159955874242
2017-06-27,9511.400390625,9615.400390625,9473.4501953125,9594.0498046875,203300,0.1052631578947368,0.0682917466410748
2017-06-28,9491.25,9522.5,9474.349609375,9520.2001953125,172400,-0.0761421319796954,-0.4860403397027601
2017-06-29,9504.099609375,9575.7998046875,9493.7998046875,9522.9501953125,259300,0.0,0.1566878980891719
2017-06-30,9520.900390625,9535.7998046875,9448.75,9478.5,179600,0.171875,-0.2964011799410029
2017-07-03,9615.0,9624.0,9543.5498046875,9587.9501953125,183000,0.0054054054054054,-0.2854150301125949
2017-07-04,9613.2998046875,9650.650390625,9595.5,9645.900390625,144800,-0.0786516853932584,0.5322383073496659
2017-07-05,9637.599609375,9643.650390625,9607.349609375,9619.75,130800,-0.0458715596330275,0.1468458274398868
2017-07-06,9674.5498046875,9700.7001953125,9639.9501953125,9653.599609375,147400,-0.1840796019900497,0.2041136873597606
2017-07-07,9665.7998046875,9684.25,9642.650390625,9670.349609375,141800,-0.0289855072463768,-0.1326548672566371
2017-07-10,9771.0498046875,9782.150390625,9646.4501953125,9719.2998046875,37500,-0.2830188679245283,-0.3210826918301465
2017-07-11,9786.0498046875,9830.0498046875,9778.849609375,9797.4501953125,179700,-0.12,-0.5970327052198398
2017-07-12,9816.099609375,9824.9501953125,9787.7001953125,9807.2998046875,145500,-0.1219512195121951,-0.547526113249038
2017-07-13,9891.7001953125,9897.25,9853.4501953125,9855.7998046875,181300,-0.131578947368421,-0.2892550540016615
2017-07-14,9886.349609375,9913.2998046875,9845.4501953125,9913.2998046875,159600,0.0588235294117647,-0.0028923253150057
2017-07-17,9915.9501953125,9928.2001953125,9894.7001953125,9908.150390625,163500,-0.0224719101123595,-0.0684848484848484
2017-07-18,9827.150390625,9885.349609375,9792.0498046875,9832.7001953125,293900,-0.1272727272727272,-0.0983626079190235
2017-07-19,9899.599609375,9905.0498046875,9851.650390625,9855.9501953125,200200,-0.1550802139037433,-0.067090523766273
2017-07-20,9873.2998046875,9922.5498046875,9863.4501953125,9920.2001953125,161100,-0.0746268656716417,0.319502487562189
2017-07-21,9915.25,9924.7001953125,9838.0,9899.599609375,187500,0.2740740740740741,0.4145746388443017
2017-07-24,9966.400390625,9982.0498046875,9919.599609375,9936.7998046875,174500,0.048780487804878,0.093506115317414
2017-07-25,9964.5498046875,10011.2998046875,9949.099609375,10010.5498046875,185500,0.024390243902439,0.1811637347767253
2017-07-26,10020.650390625,10025.9501953125,9965.9501953125,9983.650390625,197600,-0.108695652173913,0.400075910931174
2017-07-27,10020.5498046875,10114.849609375,10005.5,10063.25,287900,0.0228310502283105,0.6282174462705435
2017-07-28,10014.5,10026.0498046875,9944.5,9996.5498046875,191600,-0.081081081081081,-0.0051167672526895
2017-07-31,10077.099609375,10085.900390625,10016.9501953125,10034.7001953125,237700,-0.1111111111111111,-0.0913845376452753
2017-08-01,10114.650390625,10128.599609375,10065.75,10101.0498046875,184300,-0.0571428571428571,-0.2922413793103448
2017-08-02,10081.5,10137.849609375,10054.2001953125,10136.2998046875,161500,-0.1289198606271777,-0.1451053614297145
2017-08-03,10013.650390625,10081.150390625,9998.25,10081.150390625,192700,-0.1475409836065573,-0.1760321100917431
2017-08-04,10066.400390625,10075.25,9988.349609375,10008.599609375,178600,-0.0697674418604651,-0.3107647907647907
2017-08-07,10057.400390625,10088.099609375,10046.349609375,10074.7998046875,137400,-0.0543478260869565,-0.1935944055944056
2017-08-08,9978.5498046875,10083.7998046875,9947.0,10068.349609375,203300,0.0842105263157894,-0.1762190138926722
2017-08-09,9908.0498046875,9969.7998046875,9893.0498046875,9961.150390625,169200,0.1923076923076923,0.0771883982231513
2017-08-10,9820.25,9892.650390625,9776.2001953125,9872.849609375,235500,-0.0240963855421686,0.0226477935054121
2017-08-11,9710.7998046875,9771.650390625,9685.5498046875,9712.150390625,285900,-0.1428571428571428,0.1810064516129032
2017-08-14,9794.150390625,9818.2998046875,9752.099609375,9755.75,195600,-0.3109243697478991,0.2538152610441767
2017-08-16,9897.2998046875,9903.9501953125,9773.849609375,9825.849609375,219500,-0.0378378378378378,0.3243205379658168
2017-08-17,9904.150390625,9947.7998046875,9883.75,9945.5498046875,197600,-0.2068965517241379,0.1127831715210355
2017-08-18,9837.400390625,9865.9501953125,9783.650390625,9865.9501953125,246300,-0.0285714285714285,0.4398963730569948
2017-08-21,9754.349609375,9884.349609375,9740.099609375,9864.25,205300,-0.1567567567567567,0.5175349087003223
2017-08-22,9765.5498046875,9828.4501953125,9752.599609375,9815.75,183600,-0.0125,0.3616279069767442
2017-08-23,9852.5,9857.900390625,9786.75,9803.0498046875,168600,-0.0193548387096774,0.719891304347826
2017-08-24,9857.0498046875,9881.5,9848.849609375,9881.2001953125,184700,0.0941176470588235,0.6874610322133703
2017-08-28,9912.7998046875,9925.75,9882.0,9907.150390625,159600,0.0111111111111111,-0.3028817489234846
2017-08-29,9796.0498046875,9887.349609375,9783.75,9886.400390625,173300,-0.175438596491228,-0.0618421052631579
2017-08-30,9884.400390625,9909.4501953125,9850.7998046875,9859.5,157800,-0.0364963503649635,0.3502890173410405
2017-08-31,9917.900390625,9925.099609375,9856.9501953125,9905.7001953125,327700,-0.1527093596059113,0.5761129568106312
2017-09-01,9974.400390625,9983.4501953125,9909.849609375,9937.650390625,157800,-0.1153846153846153,-0.0687223276407337
2017-09-04,9912.849609375,9988.400390625,9861.0,9984.150390625,148800,0.027027027027027,-0.0697884148456469
2017-09-05,9952.2001953125,9963.099609375,9901.0498046875,9933.25,139200,0.0142180094786729,-0.0565686862627474
2017-09-06,9916.2001953125,9931.5498046875,9882.5498046875,9899.25,149200,0.0392156862745098,-1.185371232541044
2017-09-07,9929.900390625,9964.849609375,9917.2001953125,9945.849609375,188800,-0.0666666666666666,-1.0201036013813518
2017-09-08,9934.7998046875,9963.599609375,9913.2998046875,9958.650390625,163600,-0.1586206896551724,-0.4085462805224304
2017-09-11,10006.0498046875,10028.650390625,9968.7998046875,9971.75,173000,0.0113636363636363,0.1318935071991306
2017-09-12,10093.0498046875,10097.5498046875,10028.0498046875,10056.849609375,182600,0.0679611650485436,0.603051932069899
2017-09-13,10079.2998046875,10131.9501953125,10063.150390625,10099.25,215000,0.0131578947368421,0.4918483412322275
2017-09-14,10086.599609375,10126.5,10070.349609375,10107.400390625,225600,-0.1208791208791208,-0.0350332005312085
2017-09-15,10085.400390625,10115.150390625,10043.650390625,10062.349609375,266600,-0.1666666666666666,-0.0282877604166666
2017-09-18,10153.099609375,10171.7001953125,10131.2998046875,10133.099609375,156100,0.0578512396694214,-0.4359
2017-09-19,10147.5498046875,10178.9501953125,10129.9501953125,10175.599609375,187500,-0.0697674418604651,-0.1408988764044944
2017-09-20,10141.150390625,10171.0498046875,10134.2001953125,10160.9501953125,199400,-0.1294117647058823,0.067263025737602
2017-09-21,10121.900390625,10158.900390625,10058.599609375,10139.599609375,191800,-0.1647058823529411,-0.300339248434238
2017-09-22,9964.400390625,10095.0498046875,9952.7998046875,10094.349609375,226600,-0.2761904761904762,0.1626765299260255
2017-09-25,9872.599609375,9960.5,9816.0498046875,9960.099609375,221400,0.0941176470588235,0.2035307517084282
2017-09-26,9871.5,9891.349609375,9813.0,9875.25,190900,-0.0380952380952381,0.1718122555410691
2017-09-27,9735.75,9921.0498046875,9714.400390625,9920.599609375,200100,-0.1275720164609053,-0.1421577798565637
2017-09-28,9768.9501953125,9789.2001953125,9687.5498046875,9736.400390625,385000,-0.0328638497652582,0.2560089974293059
2017-09-29,9788.599609375,9854.0,9775.349609375,9814.2998046875,196300,-0.0778443113772455,0.2560165975103734
2017-10-03,9859.5,9895.400390625,9831.0498046875,9893.2998046875,162800,-0.0909090909090909,-1.2478382502543237
2017-10-04,9914.900390625,9938.2998046875,9850.650390625,9884.349609375,156200,-0.1744186046511628,-0.4990580370707991
2017-10-05,9888.7001953125,9945.9501953125,9881.849609375,9927.0,147800,0.0230414746543778,-0.1766111285759195
2017-10-06,9979.7001953125,9989.349609375,9906.599609375,9908.150390625,195800,0.0162162162162162,0.1272216368106779
2017-10-09,9988.75,10015.75,9959.4501953125,9988.2001953125,143900,-0.0289855072463768,-0.1153121319199057
2017-10-10,10016.9501953125,10034.0,10002.2998046875,10013.7001953125,148600,-0.0520833333333333,0.0923502036067481
2017-10-11,9984.7998046875,10067.25,9955.7998046875,10042.599609375,189700,-0.2442396313364055,-0.1785601515629933
2017-10-12,10096.400390625,10104.4501953125,9977.099609375,10011.2001953125,200900,-0.0046082949308755,0.0702669530530837
2017-10-13,10167.4501953125,10191.900390625,10120.099609375,10123.7001953125,230100,-0.1260504201680672,-0.066858527718873
2017-10-16,10230.849609375,10242.9501953125,10175.099609375,10207.400390625,203000,-0.0140845070422535,0.0097560975609756
2017-10-17,10234.4501953125,10251.849609375,10212.599609375,10227.650390625,195700,-0.0873015873015873,-0.0199421035702798
2017-10-18,10210.849609375,10236.4501953125,10175.75,10209.400390625,254200,-0.0742857142857142,0.1536625514403292
2017-10-19,10146.5498046875,10211.9501953125,10123.349609375,10210.349609375,30200,-0.1619047619047619,0.3477948717948718
2017-10-23,10184.849609375,10224.150390625,10124.5,10176.650390625,218100,-0.1707317073170731,0.6101581508515815
2017-10-24,10207.7001953125,10237.75,10182.400390625,10218.5498046875,217200,0.0424242424242424,0.5855085784313725
2017-10-25,10295.349609375,10340.5498046875,10240.900390625,10321.150390625,594200,-0.0178571428571428,0.2688140941362082
2017-10-26,10343.7998046875,10355.650390625,10271.849609375,10291.7998046875,429700,-0.1134020618556701,-0.0942977528089887
2017-10-27,10323.0498046875,10366.150390625,10311.2998046875,10362.2998046875,312700,0.0166666666666666,-0.1072425828970331
2017-10-30,10363.650390625,10384.5,10344.2998046875,10353.849609375,236900,-0.134020618556701,0.1764653902798232
2017-10-31,10335.2998046875,10367.7001953125,10323.9501953125,10364.900390625,232600,0.2222222222222222,0.1903410805916088
2017-11-01,10440.5,10451.650390625,10383.0498046875,10390.349609375,260300,0.1428571428571428,0.0673991655076495
2017-11-02,10423.7998046875,10453.0,10412.5498046875,10440.5,201500,0.0526315789473684,0.4607386066003143
2017-11-03,10452.5,10461.7001953125,10403.599609375,10461.5498046875,199900,0.0508474576271186,0.4680314077397644
2017-11-06,10451.7998046875,10490.4501953125,10413.75,10431.75,193600,-0.1024390243902439,0.5868237814675951
2017-11-07,10350.150390625,10485.75,10340.7998046875,10477.150390625,286900,-0.3269230769230769,0.0923196276183087
2017-11-08,10303.150390625,10384.25,10285.5,10361.9501953125,274500,-0.2816326530612245,-0.0477069056404849
2017-11-09,10308.9501953125,10368.4501953125,10266.9501953125,10358.650390625,240200,0.0157068062827225,0.2956509771538673
2017-11-10,10321.75,10344.9501953125,10254.099609375,10304.349609375,279400,-0.0710382513661202,0.1587250293772032
2017-11-13,10224.9501953125,10334.150390625,10216.25,10322.0,210300,-0.0886075949367088,-0.143343741129719
